product-id,highlight
P97989778,Radiant Finish
P97989778,Liquid Formula
P97989778,Community Favorite
P97989778,Matte Finish
P97989778,Long-wearing
P97989778,Medium Coverage
P377873,Radiant Finish
P377873,Hydrating
P377873,Good for: Dark Circles
P377873,Long-wearing
P377873,Medium Coverage
P377873,Good for: Acne/Blemishes
P420652,allure 2019 Best of Beauty Award Winner
P420652,Community Favorite
P420652,Vitamin C
P420652,Hydrating
P420652,Good for: Dryness
P420652,Without Parabens
P281411,Liquid Formula
P281411,Community Favorite
P281411,Long-wearing
P281411,Matte Finish
P281411,Full Coverage
P67988453,Vegan
P67988453,Community Favorite
P67988453,Shimmer Finish
P87985432,Long-wearing
P87985432,Full Coverage
P87985432,"Best for Oily, Combo, Normal Skin"
P202633,Vegan
P202633,Natural Finish
P202633,Community Favorite
P109908,Loose Powder Formula
P109908,Community Favorite
P109908,Long-wearing
P109908,Matte Finish
P109908,Oil Free
P109908,"Best for Oily, Combo, Normal Skin"
P427417,Vegan
P427417,Community Favorite
P427417,Oil Free
P427417,Without Silicones
P427417,Niacinamide
P236816,Satin Finish
P236816,Hydrating
P236816,Without Formaldehydes
P236816,Without Parabens
P236816,Without Silicones
P236816,Without Sulfates SLS & SLES
P427419,Vegan
P427419,Hyaluronic Acid
P427419,allure 2019 Best of Beauty Award Winner
P427419,Community Favorite
P427419,Without Silicones
P453814,High Shine Finish
P453814,Hydrating
P263504,Vegan
P263504,allure 2020 Best of Beauty Award Winner
P263504,Natural Finish
P263504,Community Favorite
P263504,Long-wearing
P263504,Waterproof
P378284,Liquid Formula
P378284,Community Favorite
P378284,Matte Finish
P378284,Long-wearing
P378284,Full Coverage
P378284,Oil Free
P393401,Natural Finish
P393401,Liquid Formula
P393401,Community Favorite
P393401,allure 2018 Best of Beauty Award Winner
P393401,Medium Coverage
P393401,Oil Free
P384060,Vegan
P384060,Cream Formula
P384060,Community Favorite
P384060,Full Coverage
P384060,Waterproof
P409523,Vegan
P409523,Stick Formula
P409523,Hydrating
P409523,Long-wearing
P409523,Cruelty-Free
P245205,Vegan
P245205,Community Favorite
P245205,allure 2018 Readers' Choice Award Winner
P245205,Long-wearing
P245205,Waterproof
P245205,Cruelty-Free
P133707,Vegan
P133707,Community Favorite
P133707,Long-wearing
P133707,Waterproof
P133707,Without Parabens
P427406,Community Favorite
P427406,AHA/Glycolic Acid
P427406,Oil Free
P427406,Without Silicones
P427406,Alcohol Free
P442563,Vegan
P442563,Community Favorite
P442563,AHA/Glycolic Acid
P442563,Oil Free
P442563,Without Silicones
P381000,Volumizing
P381000,Lengthening
P381000,Cruelty-Free
P428224,Good for: Damage
P428224,Community Favorite
P428224,Good for: Color Care
P428224,Good for: Volume
P428224,Clean at Sephora
P428224,All Hair Types
P456151,Radiant Finish
P456151,Liquid Formula
P456151,Clean + Planet Positive
P456151,Good for: Dark Circles
P456151,Medium Coverage
P456151,Good for: Acne/Blemishes
P456151,Good for: Dryness
P432298,Vegan
P432298,Community Favorite
P432298,Hydrating
P432298,Long-wearing
P432298,Full Coverage
P432298,Oil Free
P434104,Radiant Finish
P434104,Liquid Formula
P434104,Without Parabens
