product-id,highlight
P420652,allure 2019 Best of Beauty Award Winner
P420652,Community Favorite
P420652,Vitamin C
P420652,Hydrating
P420652,Good for: Dryness
P420652,Without Parabens
P427417,Vegan
P427417,Community Favorite
P427417,Oil Free
P427417,Without Silicones
P427417,Niacinamide
P427419,Vegan
P427419,Hyaluronic Acid
P427419,allure 2019 Best of Beauty Award Winner
P427419,Community Favorite
P427419,Without Silicones
P427406,Community Favorite
P427406,AHA/Glycolic Acid
P427406,Oil Free
P427406,Without Silicones
P427406,Alcohol Free
P442563,Vegan
P442563,Community Favorite
P442563,AHA/Glycolic Acid
P442563,Oil Free
P442563,Without Silicones
P443563,High Shine Finish
P443563,Community Favorite
P443563,Hydrating
P443563,Without Phthalates
P443563,Good for: Dryness
P443563,Without Parabens
P427421,Refill Available
P427421,Good for: Dullness/Uneven Texture
P427421,Good for: Loss of firmness
P427421,Clean at Sephora
P427421,Good for: Anti-Aging
P427421,Good for: Dryness
P411387,Vegan
P411387,Refill Available
P411387,Good for: Pores
P411387,allure 2021 Best of Beauty Award Winner
P411387,"Best for Oily, Combo, Normal Skin"
P411387,Without Sulfates SLS & SLES
P417238,Vegan
P417238,Good for: Dullness/Uneven Texture
P417238,Clean + Planet Positive
P417238,Without Mineral Oil
P417238,Cruelty-Free
P417238,allure 2017 Best of Beauty Award Winner
P466123,Vegan
P466123,Community Favorite
P466123,High Shine Finish
P466123,Clean + Planet Positive
P466123,Niacinamide
P466123,Cruelty-Free
P441101,Hyaluronic Acid
P441101,Community Favorite
P441101,Plumping
P441101,Hydrating
P441101,Clean at Sephora
P441101,Good for: Dryness
P418218,Community Favorite
P418218,Good for: Pores
P418218,Hydrating
P418218,Clean at Sephora
P418218,Oil Free
P418218,"Best for Oily, Combo, Normal Skin"
P455936,Vegan
P455936,Plumping
P455936,Clean at Sephora
P455936,Hydrating
P455936,Good for: Dryness
P455936,"Best for Oily, Combo, Normal Skin"
P455936,Cruelty-Free
P427420,Vegan
P427420,Community Favorite
P427420,Oil Free
P427420,Without Silicones
P427420,Alcohol Free
P432668,Good for: Dullness/Uneven Texture
P432668,Good for: Loss of firmness
P432668,Clean at Sephora
P432668,Good for: Anti-Aging
P432668,Good for: Dark spots
P432668,Cruelty-Free
P421275,Good for: Redness
P421275,allure 2019 Best of Beauty Award Winner
P421275,Clean at Sephora
P421275,Good for: Acne/Blemishes
P421275,Salicylic Acid
P421275,Without Sulfates SLS & SLES
P454380,Natural Finish
P454380,allure 2019 Best of Beauty Award Winner
P454380,Clean at Sephora
P454380,Oil Free
P454380,SPF
P400259,Good for: Dullness/Uneven Texture
P400259,Good for: Loss of firmness
P400259,Community Favorite
P400259,Vitamin C
P400259,Clean at Sephora
P400259,Good for: Dark spots
P248407,Best for Dry Skin
P248407,Community Favorite
P248407,Clean at Sephora
P248407,Good for: Dryness
P248407,Fragrance Free
P248407,Cruelty-Free
P427413,Vegan
P427413,Lactic Acid
P427413,Community Favorite
P427413,Without Silicones
P427413,Alcohol Free
P392246,Good for: Dullness/Uneven Texture
P392246,Good for: Pores
P392246,Clean at Sephora
P392246,Good for: Anti-Aging
P392246,AHA/Glycolic Acid
P392246,Good for: Acne/Blemishes
