product-id,ingredient,order
P420652,Diisostearyl Malate,0
P420652,Hydrogenated Polyisobutene,1
P420652,Phyto- Steryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate,2
P420652,Hydrogenated Poly(C6-14 Olefin),3
P420652,Polybutene,4
P420652,Microcrystalline Wax / Cera Microcristallina / Cire Microcri Stalline,5
P420652,Butyrospermum Parkii (Shea) Butter,6
P420652,Synthetic Wax,7
P420652,Ethylene/Propylene/Styrene Copolymer,8
P420652,Sucrose Tetrastearate Triacetate,9
P420652,Mica,10
P420652,Euphorbia Cerifera (Candelilla) Wax / Candelilla Cera Hydrocarbons / Cire De Candelilla,11
P420652,Candelilla Wax Esters,12
P420652,Astrocaryum Murumuru Seed Butter,13
P420652,Titanium Dioxide (Ci 77891),14
P420652,Fragrance / Parfum,15
P420652,Glyceryl Caprylate,16
P420652,Polyglyceryl-2 Diisostearate,17
P420652,Butylene/Ethylene/Styrene Copolymer,18
P420652,Copernicia Cerifera (Carnauba) Wax / Copernicia Cerifera Cera / Cire De Carnauba,19
P420652,Methicone,20
P420652,Polyglyceryl-2 Triisostearate,21
P420652,Cocos Nucifera (Coconut) Oil,22
P420652,Yellow 6 Lake (Ci 15985),23
P420652,Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate,24
P420652,Red 6 (Ci 15850),25
P420652,Ascorbic Acid,26
P420652,Water / Aqua / Eau,27
P420652,Glycerin,28
P420652,Propanediol,29
P420652,Bht,30
P420652,Punica Granatum Fruit Juice,31
P420652,Rubus Idaeus (Raspberry) Juice,32
P420652,Vitis Vinifera (Grape) Juice,33
P427417,Aqua (Water),0
P427417,Niacinamide,1
P427417,Pentylene Glycol,2
P427417,Zinc PCA,3
P427417,Dimethyl Isosorbide,4
P427417,Tamarindus Indica Seed Gum,5
P427417,Xanthan gum,6
P427417,Isoceteth-20,7
P427417,Ethoxydiglycol,8
P427417,Phenoxyethanol,9
P427417,Chlorphenesin,10
P427419,Water,0
P427419,Sodium Hyaluronate,1
P427419,Pentylene Glycol,2
P427419,Propanediol,3
P427419,Sodium Hyaluronate Crosspolymer,4
P427419,Panthenol,5
P427419,Ahnfeltia Concinna Extract,6
P427419,Glycerin,7
P427419,Trisodium Ethylenediamine Disuccinate,8
P427419,Citric Acid,9
P427419,Isoceteth-20,10
P427419,Ethoxydiglycol,11
P427419,Ethylhexylglycerin,12
P427419,Hexylene Glycol,13
P427419,"1,2-Hexanediol",14
P427419,Phenoxyethanol,15
P427419,Caprylyl Glycol,16
P427406,Aqua (Water),0
P427406,Glycolic Acid,1
P427406,Rosa damascena flower water,2
P427406,Centaurea cyanus flower water,3
P427406,Aloe Barbadensis Leaf Water,4
P427406,Propanediol,5
P427406,Glycerin,6
P427406,Triethanolamine,7
